0.806327 0.772247 0.714308 0.659719 0.637223 0.668589 0.762200 0.905160 1.058126 1.167802 1.193989 1.128493 1.000493 0.867295 0.787219 0.797680 0.911193 1.108687 1.330208 1.502421 1.588826 1.588737 1.501174 1.320605 1.075134 0.841642 0.692839 0.658805 0.741179 0.922440 1.150868 1.345967 1.445885 1.427485 1.288301 1.057066 0.811277 0.631475 0.553327 0.579985 0.703555 0.897949 1.103015 1.245621 1.283770 1.213742 1.057999 0.864883 0.693749 0.583587 0.543906 0.566718 0.634709 0.721010 0.791769 0.819035 0.795992 0.740632 0.684942 0.659568 0.684982 0.769034 0.903814 1.062676 1.208128 1.310155 1.356243 1.347409 1.294520 1.220622 1.158136 1.135015 1.161587 1.228490 1.314149 1.394261 1.444497 1.435918 1.338010 1.146387 0.912280 0.713238 0.594835 0.563071 0.606544 0.705409 0.826457 0.924631 0.961620 0.925038 0.831362 0.715162 0.612007 0.545060 0.523016 0.544690 0.601876 0.678764 0.752609 0.800001 
1.009358 0.967224 0.881441 0.781409 0.703410 0.675838 0.710204 0.798291 0.910632 1.002737 1.034861 0.993901 0.902588 0.809519 0.765546 0.806390 0.945738 1.162075 1.389531 1.556120 1.637230 1.642747 1.571299 1.403718 1.150810 0.889404 0.707210 0.642854 0.697700 0.854880 1.068800 1.262628 1.368141 1.355257 1.222485 1.001943 0.768058 0.594483 0.513098 0.526128 0.627077 0.796982 0.987922 1.131935 1.180077 1.121903 0.979848 0.802912 0.647192 0.548135 0.514907 0.541798 0.614990 0.711003 0.797511 0.845343 0.844701 0.810836 0.775301 0.771312 0.822764 0.937468 1.100341 1.273040 1.412333 1.493374 1.510979 1.466853 1.367865 1.236774 1.112731 1.031917 1.010182 1.042281 1.109479 1.186316 1.243723 1.250320 1.179973 1.032769 0.850933 0.694803 0.602578 0.583120 0.629275 0.723431 0.834445 0.921283 0.950338 0.912046 0.823212 0.716953 0.627032 0.576173 0.574396 0.622237 0.711316 0.822148 0.926038 0.994508 
1.263982 1.216364 1.105830 0.958140 0.818311 0.727713 0.704851 0.744330 0.821363 0.897142 0.932849 0.910139 0.843179 0.771729 0.741060 0.785752 0.920986 1.128736 1.349049 1.515055 1.602901 1.621004 1.566068 1.414032 1.167133 0.898545 0.701334 0.619029 0.654002 0.791692 0.993648 1.188396 1.302890 1.300037 1.178298 0.971459 0.750039 0.582547 0.499866 0.505379 0.594385 0.752162 0.937634 1.086075 1.144676 1.098372 0.968192 0.802708 0.657444 0.568575 0.547506 0.590836 0.685286 0.804845 0.912647 0.976008 0.983949 0.952316 0.915356 0.910675 0.965230 1.085058 1.248032 1.409101 1.525840 1.579400 1.567166 1.487642 1.344609 1.164479 0.994521 0.875325 0.822377 0.830288 0.882542 0.956106 1.022765 1.052307 1.021921 0.931487 0.811334 0.705913 0.648119 0.651082 0.712566 0.816191 0.929959 1.014010 1.038793 0.998128 0.909307 0.804796 0.719276 0.678351 0.695142 0.771065 0.894021 1.036466 1.162790 1.243968 
1.476219 1.432499 1.315732 1.138754 0.949797 0.806296 0.738889 0.746146 0.804577 0.875948 0.918679 0.907520 0.848361 0.775015 0.730931 0.751359 0.853846 1.028540 1.230445 1.400678 1.506702 1.543905 1.503744 1.364333 1.130285 0.871768 0.677718 0.591132 0.616110 0.742077 0.938020 1.138206 1.266226 1.278713 1.172795 0.981180 0.769724 0.604808 0.520172 0.522840 0.610560 0.770450 0.962474 1.120710 1.189717 1.152486 1.028698 0.866614 0.724321 0.642728 0.637390 0.706210 0.832115 0.980003 1.104340 1.170426 1.169831 1.120854 1.060596 1.030973 1.062024 1.159453 1.299224 1.436247 1.529685 1.560059 1.521067 1.408741 1.230884 1.023108 0.837309 0.709856 0.649938 0.650019 0.696163 0.770312 0.849075 0.905704 0.918685 0.883893 0.820363 0.761188 0.736695 0.764340 0.845730 0.964017 1.084720 1.168808 1.191463 1.149893 1.060587 0.954248 0.867153 0.829573 0.858415 0.954166 1.097507 1.251407 1.377820 1.455309 
1.589228 1.554102 1.445895 1.263581 1.052216 0.880662 0.792028 0.790379 0.852643 0.937248 0.995417 0.992877 0.927938 0.831572 0.750044 0.722957 0.771274 0.893200 1.060704 1.227427 1.352814 1.413699 1.391787 1.269238 1.057963 0.824389 0.647429 0.566871 0.589825 0.711223 0.907437 1.118032 1.263991 1.296516 1.210637 1.035622 0.831527 0.664834 0.575833 0.577773 0.671441 0.843612 1.050196 1.220232 1.297024 1.264608 1.141948 0.976959 0.832119 0.755491 0.767362 0.864466 1.020469 1.186460 1.310104 1.361199 1.337325 1.257738 1.159644 1.088135 1.076904 1.133814 1.237735 1.347358 1.421595 1.435042 1.376027 1.243079 1.054345 0.852734 0.685026 0.576562 0.529955 0.537500 0.588963 0.671471 0.766489 0.850260 0.901078 0.910141 0.888030 0.860903 0.858525 0.902086 0.995697 1.121421 1.243260 1.324773 1.346486 1.307860 1.222259 1.115894 1.024782 0.983409 1.012303 1.110508 1.252329 1.395592 1.505441 1.570057 
1.603126 1.572202 1.471547 1.295800 1.087583 0.918521 0.837281 0.852272 0.940931 1.056196 1.139407 1.147082 1.070894 0.939540 0.804833 0.715659 0.698868 0.757940 0.876912 1.023474 1.157560 1.242040 1.246658 1.153682 0.978393 0.779987 0.626381 0.555569 0.579568 0.699722 0.899405 1.122982 1.289369 1.345024 1.282694 1.126860 0.930050 0.758821 0.662331 0.662289 0.762834 0.948438 1.167961 1.344713 1.423171 1.390506 1.265333 1.094963 0.946119 0.873648 0.901153 1.021144 1.194691 1.360285 1.465730 1.490341 1.436724 1.321964 1.181670 1.063867 1.005744 1.017397 1.081702 1.162811 1.220647 1.225093 1.161682 1.034000 0.867473 0.702777 0.574981 0.499768 0.477643 0.503588 0.571246 0.671009 0.786353 0.894098 0.971410 1.006027 1.003337 0.985999 0.984831 1.024781 1.112610 1.231078 1.345348 1.422175 1.445098 1.413098 1.334831 1.230556 1.133914 1.081789 1.097983 1.182346 1.308405 1.434842 1.530173 1.585908 
1.525781 1.492574 1.392618 1.227528 1.041420 0.900736 0.850853 0.901831 1.031717 1.187300 1.300525 1.322479 1.240578 1.078057 0.889062 0.734849 0.652816 0.650845 0.718655 0.834317 0.964868 1.069317 1.107857 1.056742 0.926132 0.764472 0.631241 0.566161 0.587884 0.704175 0.904701 1.138878 1.324890 1.404782 1.368449 1.235159 1.048452 0.872740 0.765828 0.758915 0.859450 1.048848 1.269839 1.443027 1.515567 1.477124 1.346227 1.170573 1.019865 0.952297 0.991732 1.125315 1.303706 1.458478 1.541348 1.538893 1.455245 1.305649 1.127075 0.971440 0.877107 0.853398 0.885345 0.942822 0.990080 0.997095 0.949080 0.851425 0.728503 0.612779 0.529535 0.490449 0.497742 0.549776 0.642157 0.764829 0.899362 1.021182 1.107143 1.144040 1.134886 1.101192 1.076399 1.090194 1.153463 1.252345 1.355029 1.429452 1.457327 1.433686 1.362251 1.258559 1.153843 1.085816 1.080795 1.141937 1.247663 1.361654 1.453111 1.509116 
1.354912 1.319794 1.223001 1.077667 0.928459 0.830961 0.822831 0.914829 1.086493 1.279912 1.420910 1.460759 1.386364 1.211876 0.984887 0.776029 0.637703 0.585020 0.610523 0.697991 0.822297 0.945222 1.021296 1.016972 0.930920 0.799154 0.675758 0.605550 0.615252 0.718507 0.910408 1.146781 1.347998 1.451587 1.442320 1.333794 1.160599 0.982504 0.863203 0.842332 0.930304 1.106708 1.312866 1.471304 1.530989 1.481405 1.342115 1.163603 1.016298 0.956089 1.003873 1.143513 1.321800 1.468331 1.535935 1.512176 1.401407 1.222241 1.018392 0.844815 0.736313 0.698006 0.715401 0.763406 0.811781 0.833043 0.812341 0.753258 0.675336 0.604024 0.559955 0.554889 0.593585 0.675730 0.794836 0.935991 1.076826 1.193100 1.264879 1.280488 1.241644 1.169784 1.102381 1.074730 1.102344 1.175761 1.266785 1.342649 1.379356 1.365133 1.299035 1.194229 1.080889 0.996394 0.967720 1.001326 1.082948 1.184189 1.275367 1.336302 
1.117719 1.089559 1.008986 0.895728 0.789877 0.735028 0.762261 0.884127 1.083948 1.303589 1.466864 1.527288 1.473313 1.310260 1.071892 0.829347 0.649968 0.560354 0.557195 0.627845 0.753008 0.898005 1.013065 1.053975 1.006429 0.894044 0.766734 0.676438 0.659625 0.735633 0.904128 1.129140 1.337539 1.462693 1.480236 1.396408 1.238328 1.060512 0.928870 0.888389 0.951483 1.098028 1.273344 1.406119 1.446540 1.382805 1.237391 1.064111 0.929195 0.880042 0.932681 1.071699 1.247698 1.392129 1.454575 1.418375 1.289457 1.095468 0.888457 0.721760 0.622594 0.591543 0.615075 0.672104 0.735963 0.780290 0.789311 0.764418 0.721819 0.683845 0.670329 0.694399 0.761623 0.869058 1.003799 1.144650 1.268626 1.357035 1.395702 1.373838 1.291127 1.170219 1.054229 0.983355 0.975379 1.023591 1.103434 1.182194 1.230017 1.227456 1.168966 1.066535 0.949803 0.854550 0.806315 0.813051 0.866783 0.947974 1.031655 1.094355 
0.892754 0.880246 0.825061 0.745809 0.675232 0.648085 0.691903 0.821892 1.027831 1.258057 1.438664 1.522623 1.497654 1.362965 1.137993 0.885741 0.683028 0.570251 0.551535 0.618259 0.754902 0.927495 1.080309 1.159766 1.142096 1.040202 0.898035 0.773783 0.715472 0.749172 0.878401 1.076046 1.279654 1.420922 1.463123 1.402304 1.259660 1.085752 0.945723 0.885789 0.918665 1.025663 1.159173 1.257365 1.274384 1.199504 1.058389 0.903629 0.790649 0.754829 0.807543 0.937345 1.104469 1.246992 1.311127 1.274166 1.144257 0.958042 0.771218 0.630958 0.557543 0.550265 0.598183 0.682407 0.775469 0.848339 0.883643 0.882744 0.861979 0.843814 0.848873 0.890865 0.973461 1.088147 1.215425 1.332142 1.420388 1.468754 1.466150 1.400087 1.269500 1.102040 0.947274 0.846365 0.814451 0.844597 0.915649 0.997366 1.057173 1.069506 1.024122 0.931070 0.818555 0.720108 0.659467 0.645156 0.673379 0.731758 0.801854 0.862219 
